,Year,Population,Migrant Stock,Migrant Stock_toscale,Population_toscale
0,1900,17438434,0.0,0.0,0.8377241378120968
1,1901,18098293,0.0,0.0,0.8694230743021825
2,1902,18758151,0.0,0.0,0.9011219627533136
3,1903,19418010,0.0,0.0,0.9328208992433995
4,1904,20077868,0.0,0.0,0.9645197876945306
5,1905,20737727,0.0,0.0,0.9962187241846164
6,1906,21397585,0.0,0.0,1.0279176126357477
7,1907,22057444,0.0,0.0,1.0596165491258334
8,1908,22717302,0.0,0.0,1.0913154375769647
9,1909,23377161,0.0,0.0,1.1230143740670504
10,1910,24037020,0.0,0.0,1.1547133105571363
11,1911,24696878,0.0,0.0,1.1864121990082674
12,1912,25356737,0.0,0.0,1.2181111354983534
13,1913,26016595,0.0,0.0,1.2498100239494845
14,1914,26676454,0.0,0.0,1.2815089604395702
15,1915,27336312,0.0,0.0,1.3132078488907015
16,1916,27996171,0.0,0.0,1.3449067853807872
17,1917,28656029,0.0,0.0,1.3766056738319186
18,1918,29315888,0.0,0.0,1.4083046103220043
19,1919,29975746,0.0,0.0,1.4400034987731356
20,1920,30635605,0.0,0.0,1.4717024352632213
21,1921,31162089,0.0,0.0,1.4969941761943086
22,1922,31688573,0.0,0.0,1.5222859171253957
23,1923,32215058,0.0,0.0,1.5475777060954377
24,1924,32741542,0.0,0.0,1.572869447026525
25,1925,33268026,0.0,0.0,1.598161187957612
26,1926,33794510,0.0,0.0,1.6234529288886996
27,1927,34320994,0.0,0.0,1.6487446698197865
28,1928,34847479,0.0,0.0,1.6740364587898284
29,1929,35373963,0.0,0.0,1.6993281997209158
30,1930,35900447,0.0,0.0,1.724619940652003
31,1931,36426931,0.0,0.0,1.7499116815830904
32,1932,36953415,0.0,0.0,1.7752034225141775
33,1933,37479900,0.0,0.0,1.8004952114842192
34,1934,38006384,0.0,0.0,1.8257869524153068
35,1935,38532868,0.0,0.0,1.8510786933463939
36,1936,39059352,0.0,0.0,1.8763704342774812
37,1937,39585836,0.0,0.0,1.9016621752085685
38,1938,40112321,0.0,0.0,1.9269539641786102
39,1939,40638805,0.0,0.0,1.9522457051096975
40,1940,41165289,0.0,0.0,1.9775374460407849
41,1941,42243200,0.0,0.0,2.029319163545532
42,1942,43321111,0.0,0.0,2.0811008810502787
43,1943,44399021,0.0,0.0,2.1328825505160713
44,1944,45476932,0.0,0.0,2.184664268020818
45,1945,46554843,0.0,0.0,2.2364459855255654
