,Year,Inflation Rate,Inflation Rate_toscale
0,1900,0.0,0.0
1,1901,0.0,0.0
2,1902,0.0,0.0
3,1903,0.0,0.0
4,1904,0.0,0.0
5,1905,0.0,0.0
6,1906,0.0,0.0
7,1907,0.0,0.0
8,1908,0.0,0.0
9,1909,0.0,0.0
10,1910,0.0,0.0
11,1911,0.0,0.0
12,1912,0.0,0.0
13,1913,0.0,0.0
14,1914,0.0,0.0
15,1915,0.0,0.0
16,1916,0.0,0.0
17,1917,0.0,0.0
18,1918,0.0,0.0
19,1919,0.0,0.0
20,1920,0.0,0.0
21,1921,0.0,0.0
22,1922,0.0,0.0
23,1923,0.0,0.0
24,1924,0.0,0.0
25,1925,0.0,0.0
26,1926,0.0,0.0
27,1927,0.0,0.0
28,1928,0.0,0.0
29,1929,0.0,0.0
30,1930,0.0,0.0
31,1931,0.0,0.0
32,1932,0.0,0.0
33,1933,0.0,0.0
34,1934,0.0,0.0
35,1935,0.0,0.0
36,1936,0.0,0.0
37,1937,0.0,0.0
38,1938,0.0,0.0
39,1939,0.0,0.0
40,1940,0.0,0.0
41,1941,0.0,0.0
42,1942,0.0,0.0
43,1943,0.0,0.0
44,1944,0.0,0.0
45,1945,11.11,0.04
46,1946,22.22,0.08
47,1947,2.73,0.01
48,1948,7.96,0.03
49,1949,12.3,0.05
50,1950,12.41,0.05
51,1951,12.34,0.05
52,1952,12.72,0.05
53,1953,20.51,0.08
54,1954,25.86,0.1
55,1955,12.15,0.04
56,1956,24.55,0.09
57,1957,6.96,0.03
58,1958,24.39,0.09
59,1959,39.43,0.15
60,1960,30.47,0.11
61,1961,47.78,0.18
62,1962,51.6,0.19
63,1963,79.92,0.3
64,1964,92.12,0.34
65,1965,34.24,0.13
66,1966,39.12,0.14
67,1967,25.01,0.09
68,1968,25.49,0.09
69,1969,19.31,0.07
70,1970,19.26,0.07
71,1971,19.47,0.07
72,1972,15.72,0.06
73,1973,15.54,0.06
74,1974,34.55,0.13
75,1975,29.35,0.11
76,1976,46.26,0.17
77,1977,38.78,0.14
78,1978,40.81,0.15
79,1979,77.25,0.29
80,1980,110.24,0.41
81,1981,95.2,0.35
82,1982,99.72,0.37
83,1983,210.99,0.78
84,1984,223.81,0.83
85,1985,235.11,0.87
86,1986,65.03,0.24
87,1987,415.83,1.54
88,1988,1037.56,3.83
89,1989,1782.89,6.58
90,1990,1476.71,5.45
91,1991,480.23,1.77
92,1992,1157.83,4.28
93,1993,2708.17,10.0
94,1994,1093.89,4.04
95,1995,14.78,0.05
96,1996,9.34,0.03
97,1997,7.48,0.03
98,1998,1.7,0.01
99,1999,19.98,0.07
100,2000,9.81,0.04
101,2001,10.4,0.04
102,2002,26.41,0.1
103,2003,7.67,0.03
104,2004,12.14,0.04
105,2005,1.22,0.0
106,2006,3.79,0.01
107,2007,7.89,0.03
108,2008,9.1,0.03
109,2009,-1.43,-0.01
110,2010,11.3,0.04
111,2011,5.0,0.02
112,2012,8.1,0.03
113,2013,5.52,0.02
114,2014,3.78,0.01
115,2015,10.7,0.04
116,2016,7.18,0.03
117,2017,0.0,0.0
