,Year,Migrant Stock,Migrant Stock_toscale
0,1900,0,0.0
1,1901,0,0.0
2,1902,0,0.0
3,1903,0,0.0
4,1904,0,0.0
5,1905,0,0.0
6,1906,0,0.0
7,1907,0,0.0
8,1908,0,0.0
9,1909,0,0.0
10,1910,0,0.0
11,1911,0,0.0
12,1912,0,0.0
13,1913,0,0.0
14,1914,0,0.0
15,1915,0,0.0
16,1916,0,0.0
17,1917,0,0.0
18,1918,0,0.0
19,1919,0,0.0
20,1920,0,0.0
21,1921,0,0.0
22,1922,0,0.0
23,1923,0,0.0
24,1924,0,0.0
25,1925,0,0.0
26,1926,0,0.0
27,1927,0,0.0
28,1928,0,0.0
29,1929,0,0.0
30,1930,0,0.0
31,1931,0,0.0
32,1932,0,0.0
33,1933,0,0.0
34,1934,0,0.0
35,1935,0,0.0
36,1936,0,0.0
37,1937,0,0.0
38,1938,0,0.0
39,1939,0,0.0
40,1940,0,0.0
41,1941,0,0.0
42,1942,0,0.0
43,1943,0,0.0
44,1944,0,0.0
45,1945,0,0.0
46,1946,0,0.0
47,1947,0,0.0
48,1948,0,0.0
49,1949,0,0.0
50,1950,0,0.0
51,1951,0,0.0
52,1952,0,0.0
53,1953,0,0.0
54,1954,0,0.0
55,1955,0,0.0
56,1956,0,0.0
57,1957,0,0.0
58,1958,0,0.0
59,1959,0,0.0
60,1960,1397119,100.0
61,1961,1380680,98.82
62,1962,1364240,97.65
63,1963,1347801,96.47
64,1964,1331361,95.29
65,1965,1314922,94.12
66,1966,1298304,92.93
67,1967,1281687,91.74
68,1968,1265069,90.55
69,1969,1248452,89.36
70,1970,1231834,88.17
71,1971,1219574,87.29
72,1972,1207314,86.41
73,1973,1195053,85.54
74,1974,1182793,84.66
75,1975,1170533,83.78
76,1976,1158993,82.96
77,1977,1147453,82.13
78,1978,1135914,81.3
79,1979,1124374,80.48
80,1980,1112834,79.65
81,1981,1079180,77.24
82,1982,1045525,74.83
83,1983,1011871,72.43
84,1984,978216,70.02
85,1985,944562,67.61
86,1986,915353,65.52
87,1987,886144,63.43
88,1988,856935,61.34
89,1989,827726,59.25
90,1990,798517,57.15
91,1991,787125,56.34
92,1992,775733,55.52
93,1993,764341,54.71
94,1994,752949,53.89
95,1995,741557,53.08
96,1996,730165,52.26
97,1997,718773,51.45
98,1998,707380,50.63
99,1999,695988,49.82
100,2000,684596,49.0
101,2001,675393,48.34
102,2002,666190,47.68
103,2003,656988,47.02
104,2004,647785,46.37
105,2005,638582,45.71
106,2006,629379,45.05
107,2007,620176,44.39
108,2008,610974,43.73
109,2009,601771,43.07
110,2010,592568,42.41
111,2011,616768,44.15
112,2012,640968,45.88
113,2013,665168,47.61
114,2014,689368,49.34
115,2015,713568,51.07
116,2016,713568,51.07
117,2017,713568,51.07
