Year,Refugees,Asylum,Returned refugees,Internally displaced persons,Returned IDPs,Stateless persons,Others of concern,Total Population
1969,40000,0,0,0,0,0,0,40000
1970,40000,0,0,0,0,0,0,40000
1971,38000,0,0,0,0,0,0,38000
1972,37000,0,0,0,0,0,0,37000
1973,35200,0,0,0,0,0,0,35200
1974,34000,0,0,0,0,0,0,34000
1975,32000,0,0,0,0,0,0,32000
1976,30000,0,0,0,0,0,0,30000
1977,36000,0,0,0,0,0,0,36000
1978,35000,0,0,0,0,0,0,35000
1979,25000,0,0,0,0,0,0,25000
1980,24000,0,0,0,0,0,0,24000
1981,24000,0,0,0,0,0,0,24000
1982,5400,0,0,0,0,0,0,5400
1983,5400,0,0,0,0,0,0,5400
1984,5300,0,100,0,0,0,0,5400
1985,5300,0,50,0,0,0,0,5350
1986,5300,0,0,0,0,0,0,5300
1987,5280,0,0,0,0,0,0,5280
1988,5332,0,0,0,0,0,0,5332
1989,5331,0,0,0,0,0,0,5331
1990,5335,0,0,0,0,0,0,5335
1991,5389,0,0,0,0,0,0,5389
1992,5439,0,50,0,0,0,0,5489
1993,6198,0,28,0,0,0,0,6226
1994,2223,0,117,0,0,0,0,2340
1995,2050,0,69,0,0,0,0,2119
1996,2212,0,6,0,0,0,0,2218
1997,2260,0,3,0,0,0,0,2263
1998,2347,0,1,0,0,0,0,2348
1999,2378,0,0,0,0,0,0,2378
2000,2722,543,0,0,0,0,0,3265
2001,2884,647,2,0,0,0,0,3533
2002,3182,561,0,0,0,0,0,3743
2003,3193,566,14,0,0,0,0,3773
2004,3345,446,4,0,0,0,0,3795
2005,3458,195,2,0,0,91,4000,7746
2006,3492,398,16,0,0,0,17000,20906
2007,20783,427,0,0,0,0,0,21210
2008,3852,517,13,0,0,0,0,4382
2009,4232,176,1,0,0,106,0,4515
2010,4357,872,8,0,0,0,0,5237
2011,4477,4670,6,0,0,0,0,9153
2012,4689,1441,0,0,0,1,5580,11711
2013,5196,4634,15,0,0,2,12318,22165
2014,7490,11216,0,0,0,2,29238,47946
2015,8707,20815,0,0,0,4,6264,35790
2016,9634,35356,0,0,0,0,22930,67994
