,Year,Country,Origin,Refugees,Asylum,Returned refugees,Internally displaced persons,Returned IDPs,Stateless persons,Others of concern,Total Population
0,1969,Brazil,Various/Unknown,40000,0,0,0,0,0,0,40000
1,1970,Brazil,Various/Unknown,40000,0,0,0,0,0,0,40000
2,1971,Brazil,Cuba,37800,0,0,0,0,0,0,37800
3,1971,Brazil,Various/Unknown,200,0,0,0,0,0,0,200
5,1972,Brazil,Various/Unknown,36800,0,0,0,0,0,0,36800
4,1972,Brazil,Cuba,200,0,0,0,0,0,0,200
6,1973,Brazil,Various/Unknown,35200,0,0,0,0,0,0,35200
7,1974,Brazil,Various/Unknown,34000,0,0,0,0,0,0,34000
8,1975,Brazil,Various/Unknown,32000,0,0,0,0,0,0,32000
9,1976,Brazil,Various/Unknown,30000,0,0,0,0,0,0,30000
10,1977,Brazil,Various/Unknown,36000,0,0,0,0,0,0,36000
11,1978,Brazil,Various/Unknown,35000,0,0,0,0,0,0,35000
12,1979,Brazil,Various/Unknown,25000,0,0,0,0,0,0,25000
13,1980,Brazil,Various/Unknown,24000,0,0,0,0,0,0,24000
14,1981,Brazil,Various/Unknown,24000,0,0,0,0,0,0,24000
15,1982,Brazil,Various/Unknown,5400,0,0,0,0,0,0,5400
16,1983,Brazil,Various/Unknown,5400,0,0,0,0,0,0,5400
19,1984,Brazil,Various/Unknown,5020,0,0,0,0,0,0,5020
17,1984,Brazil,Uruguay,140,0,100,0,0,0,0,240
18,1984,Brazil,Viet Nam,140,0,0,0,0,0,0,140
21,1985,Brazil,Various/Unknown,5210,0,50,0,0,0,0,5260
20,1985,Brazil,Viet Nam,90,0,0,0,0,0,0,90
24,1986,Brazil,Various/Unknown,5140,0,0,0,0,0,0,5140
23,1986,Brazil,Viet Nam,90,0,0,0,0,0,0,90
22,1986,Brazil,Chile,70,0,0,0,0,0,0,70
25,1987,Brazil,Various/Unknown,5280,0,0,0,0,0,0,5280
26,1988,Brazil,Various/Unknown,5332,0,0,0,0,0,0,5332
27,1989,Brazil,Various/Unknown,5331,0,0,0,0,0,0,5331
28,1990,Brazil,Various/Unknown,5335,0,0,0,0,0,0,5335
29,1991,Brazil,Various/Unknown,5389,0,0,0,0,0,0,5389
30,1992,Brazil,Various/Unknown,5439,0,50,0,0,0,0,5489
36,1993,Brazil,Various/Unknown,4636,0,0,0,0,0,0,4636
31,1993,Brazil,Angola,1365,0,0,0,0,0,0,1365
33,1993,Brazil,Dem. Rep. of the Congo,142,0,0,0,0,0,0,142
37,1994,Brazil,Angola,1228,0,0,0,0,0,0,1228
43,1994,Brazil,Various/Unknown,555,0,0,0,0,0,0,555
41,1994,Brazil,Liberia,211,0,0,0,0,0,0,211
44,1995,Brazil,Angola,1264,0,2,0,0,0,0,1266
63,1995,Brazil,Various/Unknown,164,0,0,0,0,0,0,164
55,1995,Brazil,Liberia,150,0,0,0,0,0,0,150
64,1996,Brazil,Angola,1209,0,3,0,0,0,0,1212
82,1996,Brazil,Various/Unknown,296,0,3,0,0,0,0,299
74,1996,Brazil,Liberia,203,0,0,0,0,0,0,203
83,1997,Brazil,Angola,1286,0,3,0,0,0,0,1289
94,1997,Brazil,Liberia,243,0,0,0,0,0,0,243
86,1997,Brazil,Dem. Rep. of the Congo,147,0,0,0,0,0,0,147
105,1998,Brazil,Angola,1271,0,1,0,0,0,0,1272
