Year,Refugees_in,Asylum_in,Returned refugees_in,Internally displaced persons_in,Returned IDPs_in,Stateless persons_in,Others of concern_in,Total Population_in,Refugees_out,Asylum_out,Returned refugees_out,Internally displaced persons_out,Returned IDPs_out,Stateless persons_out,Others of concern_out,Total Population_out,Refugees_net,Asylum_net,Returned refugees_net,Internally displaced persons_net,Returned IDPs_net,Stateless persons_net,Others of concern_net,Total Population_net
1969,40000,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,-40000,0,0,0,0,0,0,-40000
1970,40000,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,-40000,0,0,0,0,0,0,-40000
1971,38000,0,0,0,0,0,0,38000,2000,0,0,0,0,0,0,2000,-36000,0,0,0,0,0,0,-36000
1972,37000,0,0,0,0,0,0,37000,2000,0,0,0,0,0,0,2000,-35000,0,0,0,0,0,0,-35000
1973,35200,0,0,0,0,0,0,35200,0,0,0,0,0,0,0,0,-35200,0,0,0,0,0,0,-35200
1974,34000,0,0,0,0,0,0,34000,0,0,0,0,0,0,0,0,-34000,0,0,0,0,0,0,-34000
1975,32000,0,0,0,0,0,0,32000,0,0,0,0,0,0,0,0,-32000,0,0,0,0,0,0,-32000
1976,30000,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,-30000,0,0,0,0,0,0,-30000
1977,36000,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,-36000,0,0,0,0,0,0,-36000
1978,35000,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,-35000,0,0,0,0,0,0,-35000
1979,25000,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,-25000,0,0,0,0,0,0,-25000
1980,24000,0,0,0,0,0,0,24000,5,0,0,0,0,0,0,5,-23995,0,0,0,0,0,0,-23995
1981,24000,0,0,0,0,0,0,24000,5,0,0,0,0,0,0,5,-23995,0,0,0,0,0,0,-23995
1982,5400,0,0,0,0,0,0,5400,5,0,0,0,0,0,0,5,-5395,0,0,0,0,0,0,-5395
1983,5400,0,0,0,0,0,0,5400,5,0,0,0,0,0,0,5,-5395,0,0,0,0,0,0,-5395
1984,5300,0,100,0,0,0,0,5400,5,0,0,0,0,0,0,5,-5295,0,-100,0,0,0,0,-5395
1985,5300,0,50,0,0,0,0,5350,5,0,0,0,0,0,0,5,-5295,0,-50,0,0,0,0,-5345
1986,5300,0,0,0,0,0,0,5300,3,0,0,0,0,0,0,3,-5297,0,0,0,0,0,0,-5297
1987,5280,0,0,0,0,0,0,5280,1,0,0,0,0,0,0,1,-5279,0,0,0,0,0,0,-5279
1988,5332,0,0,0,0,0,0,5332,1,0,0,0,0,0,0,1,-5331,0,0,0,0,0,0,-5331
1989,5331,0,0,0,0,0,0,5331,6,0,0,0,0,0,0,6,-5325,0,0,0,0,0,0,-5325
1990,5335,0,0,0,0,0,0,5335,14,0,0,0,0,0,0,14,-5321,0,0,0,0,0,0,-5321
1991,5389,0,0,0,0,0,0,5389,11,0,0,0,0,0,0,11,-5378,0,0,0,0,0,0,-5378
1992,5439,0,50,0,0,0,0,5489,11,0,0,0,0,0,0,11,-5428,0,-50,0,0,0,0,-5478
1993,6198,0,28,0,0,0,0,6226,12,0,0,0,0,0,0,12,-6186,0,-28,0,0,0,0,-6214
1994,2223,0,117,0,0,0,0,2340,41,0,3,0,0,0,0,44,-2182,0,-114,0,0,0,0,-2296
1995,2050,0,69,0,0,0,0,2119,53,0,6,0,0,0,0,59,-1997,0,-63,0,0,0,0,-2060
1996,2212,0,6,0,0,0,0,2218,85,0,0,0,0,0,0,85,-2127,0,-6,0,0,0,0,-2133
1997,2260,0,3,0,0,0,0,2263,104,0,0,0,0,0,0,104,-2156,0,-3,0,0,0,0,-2159
1998,2347,0,1,0,0,0,0,2348,136,0,0,0,0,0,0,136,-2211,0,-1,0,0,0,0,-2212
