,Country,New Pop
0,,1.0
1,,1.0
2,,1.0
3,,1.0
4,,1.0
5,,1.0
6,,1.0
7,,1.0
8,,1.0
9,,1.0
10,,1.0
11,,1.0
12,,1.0
13,,1.0
14,,1.0
15,,1.0
16,,1.0
17,,1.0
18,,1.0
19,,1.0
20,,1.0
21,,1.0
22,,1.0
23,,1.0
24,,1.0
25,,1.0
26,,1.0
27,,1.0
28,,1.0
29,,1.0
30,,1.0
31,,1.0
32,,1.0
33,,1.0
34,,1.0
35,,1.0
36,,1.0
37,,1.0
38,,1.0
39,,1.0
40,,1.0
41,,1.0
42,,1.0
43,,1.0
44,,1.0
45,,1.0
46,,1.0
47,,1.0
48,,1.0
49,,1.0
50,,1.0
51,,1.0
52,,1.0
53,,1.0
54,,1.0
55,,1.0
56,,1.0
57,,1.0
58,,1.0
59,,1.0
60,,1.0
61,,1.0
62,,1.0
63,,1.0
64,,1.0
65,,1.0
66,,1.0
67,,1.0
68,,1.0
69,,1.0
70,Chile,400.0
71,,1.0
72,,1.0
73,,1.0
74,,1.0
75,,1.0
76,,1.0
77,,1.0
78,,1.0
79,,1.0
80,Italy,3.5
81,Denmark,0.6
82,,1.0
83,,1.0
84,,1.0
85,,1.0
86,,1.0
87,,1.0
88,,1.0
89,,1.0
90,United States of America,37.4
91,Canada,12.8
92,Sweden,8.5
93,Australia,6.3
94,Mexico,0.8
95,Belgium,0.4
96,Denmark,0.4
97,Cuba,0.3
98,Morocco,0.3
99,,1.0
100,United States of America,777.6
101,Canada,306.3
102,Germany,235.8
103,Australia,20.5
104,Brazil,19.7
105,Switzerland,6.4
106,Ireland,5.5
107,Netherlands,4.0
108,Sweden,3.9
109,France,3.4
110,United States of America,1171.5
111,Canada,150.6
112,Germany,72.2
113,Italy,32.8
114,United Kingdom,19.9
115,Ireland,12.3
116,Australia,12.1
117,France,8.5
118,Switzerland,6.7
119,Sweden,6.6
