,Year,Country,Origin,Refugees,Asylum,Returned refugees,Internally displaced persons,Returned IDPs,Stateless persons,Others of concern,Total Population
0,1971,Chile,Brazil,2000,0,0,0,0,0,0,2000
1,1972,Chile,Brazil,2000,0,0,0,0,0,0,2000
2,1980,Italy,Brazil,5,0,0,0,0,0,0,5
3,1981,Italy,Brazil,5,0,0,0,0,0,0,5
4,1982,Italy,Brazil,5,0,0,0,0,0,0,5
5,1983,Italy,Brazil,5,0,0,0,0,0,0,5
6,1984,Italy,Brazil,5,0,0,0,0,0,0,5
7,1985,Italy,Brazil,5,0,0,0,0,0,0,5
8,1986,Italy,Brazil,3,0,0,0,0,0,0,3
9,1987,Italy,Brazil,1,0,0,0,0,0,0,1
10,1988,Italy,Brazil,1,0,0,0,0,0,0,1
11,1989,Denmark,Brazil,6,0,0,0,0,0,0,6
13,1990,Sweden,Brazil,10,0,0,0,0,0,0,10
12,1990,Denmark,Brazil,4,0,0,0,0,0,0,4
14,1991,Sweden,Brazil,11,0,0,0,0,0,0,11
15,1992,Sweden,Brazil,11,0,0,0,0,0,0,11
17,1993,Sweden,Brazil,9,0,0,0,0,0,0,9
18,1993,United States of America,Brazil,2,0,0,0,0,0,0,2
16,1993,Mexico,Brazil,1,0,0,0,0,0,0,1
19,1994,Canada,Brazil,27,0,0,0,0,0,0,27
22,1994,Sweden,Brazil,9,0,0,0,0,0,0,9
23,1994,United States of America,Brazil,4,0,0,0,0,0,0,4
20,1994,Cuba,Brazil,0,0,3,0,0,0,0,3
21,1994,Mexico,Brazil,1,0,0,0,0,0,0,1
24,1995,Canada,Brazil,24,0,0,0,0,0,0,24
28,1995,United States of America,Brazil,21,0,0,0,0,0,0,21
27,1995,Sweden,Brazil,7,0,0,0,0,0,0,7
26,1995,Mexico,Brazil,0,0,6,0,0,0,0,6
25,1995,Morocco,Brazil,1,0,0,0,0,0,0,1
33,1996,United States of America,Brazil,46,0,0,0,0,0,0,46
30,1996,Canada,Brazil,20,0,0,0,0,0,0,20
29,1996,Australia,Brazil,11,0,0,0,0,0,0,11
32,1996,Sweden,Brazil,7,0,0,0,0,0,0,7
31,1996,Morocco,Brazil,1,0,0,0,0,0,0,1
38,1997,United States of America,Brazil,60,0,0,0,0,0,0,60
35,1997,Canada,Brazil,20,0,0,0,0,0,0,20
34,1997,Australia,Brazil,16,0,0,0,0,0,0,16
37,1997,Sweden,Brazil,7,0,0,0,0,0,0,7
36,1997,Morocco,Brazil,1,0,0,0,0,0,0,1
43,1998,United States of America,Brazil,90,0,0,0,0,0,0,90
39,1998,Australia,Brazil,19,0,0,0,0,0,0,19
41,1998,Canada,Brazil,18,0,0,0,0,0,0,18
42,1998,Sweden,Brazil,7,0,0,0,0,0,0,7
40,1998,Belgium,Brazil,2,0,0,0,0,0,0,2
48,1999,United States of America,Brazil,151,0,0,0,0,0,0,151
46,1999,Canada,Brazil,19,0,0,0,0,0,0,19
44,1999,Australia,Brazil,17,0,0,0,0,0,0,17
47,1999,Sweden,Brazil,7,0,0,0,0,0,0,7
45,1999,Belgium,Brazil,2,0,0,0,0,0,0,2
56,2000,United States of America,Brazil,173,573,0,0,0,0,0,746
51,2000,Canada,Brazil,32,55,0,0,0,0,0,87
49,2000,Australia,Brazil,15,16,0,0,0,0,0,31
54,2000,Netherlands,Brazil,0,4,0,0,0,0,0,4
50,2000,Belgium,Brazil,2,0,0,0,0,0,0,2
63,2001,United States of America,Brazil,195,568,0,0,0,0,0,763
59,2001,Canada,Brazil,38,198,0,0,0,0,0,236
57,2001,Australia,Brazil,13,27,0,0,0,0,0,40
60,2001,Switzerland,Brazil,5,2,0,0,0,0,0,7
62,2001,Netherlands,Brazil,2,2,0,0,0,0,0,4
71,2002,United States of America,Brazil,231,527,0,0,0,0,0,758
66,2002,Canada,Brazil,40,570,0,0,0,0,0,610
68,2002,Germany,Brazil,150,0,0,0,0,0,0,150
64,2002,Australia,Brazil,11,35,0,0,0,0,0,46
