| COD_UF_NASCIMENTO | UF_NASCIMENTO | COD_UF_RESIDENCIA | UF_RESIDENCIA | POPULACAO
LINESTRING(-62.83912 -10.91219 , -70.44996 -9.30596 )| 12| Acre | 11| Rondonia | 22157
LINESTRING(-62.83913 -10.91220 , -64.69338 -4.18811 )| 13| Amazonas | 11| Rondonia | 35730
LINESTRING(-62.83914 -10.91221 , -61.39542 2.08035 )| 14| Roraima | 11| Rondonia | 1476
LINESTRING(-62.83915 -10.91222 , -53.08359 -3.94833 )| 15| Para | 11| Rondonia | 11901
LINESTRING(-62.83916 -10.91223 , -51.93312 1.46375 )| 16| Amapa | 11| Rondonia | 544
LINESTRING(-62.83917 -10.91224 , -48.31198 -10.1507 )| 17| Tocantins | 11| Rondonia | 1254
LINESTRING(-62.83918 -10.91225 , -45.27821 -5.07629 )| 21| Maranhao | 11| Rondonia | 23367
LINESTRING(-62.83919 -10.91226 , -42.96225 -7.36778 )| 22| Piaui | 11| Rondonia | 5610
LINESTRING(-62.83920 -10.91227 , -39.6022 -5.1071 )| 23| Ceara | 11| Rondonia | 22835
LINESTRING(-62.83921 -10.91228 , -36.83167 -7.12048 )| 25| Paraiba | 11| Rondonia | 8132
LINESTRING(-62.83922 -10.91229 , -37.97914 -8.32349 )| 26| Pernambuco | 11| Rondonia | 11811
LINESTRING(-62.83923 -10.91230 , -36.62442 -9.51445 )| 27| Alagoas | 11| Rondonia | 5321
LINESTRING(-62.83924 -10.91231 , -37.44905 -10.58073 )| 28| Sergipe | 11| Rondonia | 3578
LINESTRING(-62.83925 -10.91232 , -41.70232 -12.46848 )| 29| Bahia | 11| Rondonia | 38022
LINESTRING(-62.83926 -10.91233 , -44.6785 -18.46074 )| 31| Minas Gerais | 11| Rondonia | 93501
LINESTRING(-62.83927 -10.91234 , -40.67183 -19.57655 )| 32| Espirito Santo | 11| Rondonia | 69584
LINESTRING(-62.83928 -10.91235 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 11| Rondonia | 5731
LINESTRING(-62.83929 -10.91236 , -48.72468 -22.27655 )| 35| Sao Paulo | 11| Rondonia | 48608
LINESTRING(-62.83930 -10.91237 , -51.62113 -24.63245 )| 41| Parana | 11| Rondonia | 145712
LINESTRING(-62.83931 -10.91238 , -50.49239 -27.24414 )| 42| Santa Catarina | 11| Rondonia | 10387
LINESTRING(-62.83932 -10.91239 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 11| Rondonia | 12426
LINESTRING(-62.83933 -10.91240 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 11| Rondonia | 22423
LINESTRING(-62.83934 -10.91241 , -55.90972 -12.94403 )| 51| Mato Grosso | 11| Rondonia | 46964
LINESTRING(-62.83935 -10.91242 , -49.61787 -16.03579 )| 52| Goias | 11| Rondonia | 15658
LINESTRING(-62.83936 -10.91243 , -47.7973 -15.78271 )| 53| Distrito Federal | 11| Rondonia | 1917
LINESTRING(-70.44996 -9.30596 , -62.83912 -10.91219 )| 11| Rondonia | 12| Acre | 8476
LINESTRING(-70.44997 -9.30597 , -64.69338 -4.18811 )| 13| Amazonas | 12| Acre | 24189
LINESTRING(-70.44998 -9.30598 , -61.39542 2.08035 )| 14| Roraima | 12| Acre | 59
LINESTRING(-70.44999 -9.30599 , -53.08359 -3.94833 )| 15| Para | 12| Acre | 2400
LINESTRING(-70.45000 -9.30600 , -51.93312 1.46375 )| 16| Amapa | 12| Acre | 91
LINESTRING(-70.45001 -9.30601 , -48.31198 -10.1507 )| 17| Tocantins | 12| Acre | 160
LINESTRING(-70.45002 -9.30602 , -45.27821 -5.07629 )| 21| Maranhao | 12| Acre | 958
LINESTRING(-70.45003 -9.30603 , -42.96225 -7.36778 )| 22| Piaui | 12| Acre | 394
LINESTRING(-70.45004 -9.30604 , -39.6022 -5.1071 )| 23| Ceara | 12| Acre | 6375
LINESTRING(-70.45005 -9.30605 , -36.67139 -5.8322 )| 24| Rio Grande do Norte | 12| Acre | 1075
LINESTRING(-70.45006 -9.30606 , -36.83167 -7.12048 )| 25| Paraiba | 12| Acre | 930
LINESTRING(-70.45007 -9.30607 , -37.97914 -8.32349 )| 26| Pernambuco | 12| Acre | 952
LINESTRING(-70.45008 -9.30608 , -36.62442 -9.51445 )| 27| Alagoas | 12| Acre | 375
LINESTRING(-70.45009 -9.30609 , -37.44905 -10.58073 )| 28| Sergipe | 12| Acre | 130
LINESTRING(-70.45010 -9.30610 , -41.70232 -12.46848 )| 29| Bahia | 12| Acre | 1768
LINESTRING(-70.45011 -9.30611 , -44.6785 -18.46074 )| 31| Minas Gerais | 12| Acre | 4019
LINESTRING(-70.45012 -9.30612 , -40.67183 -19.57655 )| 32| Espirito Santo | 12| Acre | 1614
LINESTRING(-70.45013 -9.30613 , -42.65502 -22.19074 )| 33| Rio de Janeiro | 12| Acre | 1694
LINESTRING(-70.45014 -9.30614 , -48.72468 -22.27655 )| 35| Sao Paulo | 12| Acre | 3559
LINESTRING(-70.45015 -9.30615 , -51.62113 -24.63245 )| 41| Parana | 12| Acre | 5996
LINESTRING(-70.45016 -9.30616 , -50.49239 -27.24414 )| 42| Santa Catarina | 12| Acre | 603
LINESTRING(-70.45017 -9.30617 , -53.32019 -29.70615 )| 43| Rio Grande do Sul | 12| Acre | 1291
LINESTRING(-70.45018 -9.30618 , -54.84446 -20.32699 )| 50| Mato Grosso do Sul | 12| Acre | 1763
LINESTRING(-70.45019 -9.30619 , -55.90972 -12.94403 )| 51| Mato Grosso | 12| Acre | 2698
LINESTRING(-70.45020 -9.30620 , -49.61787 -16.03579 )| 52| Goias | 12| Acre | 938
LINESTRING(-70.45021 -9.30621 , -47.7973 -15.78271 )| 53| Distrito Federal | 12| Acre | 335
