Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/19/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil,BRA,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,2.190281364,2.16172965,2.115701109,2.066769276,2.033393583,2.023830139,2.018801641,2.033573982,2.060058248,2.088021091,2.112215438,2.126048641,2.140290382,2.153239312,2.162476381,2.166755133,2.154946085,2.139544287,2.126257505,2.122381731,2.13142488,2.137637897,2.154162611,2.180680743,2.217664854,2.264721399,2.308545812,2.366093421,2.426474968,2.47469412,2.50359959,2.507182861,2.492731436,2.475473124,2.476271262,2.505077215,2.549891006,2.619526439,2.699246638,2.76787709,2.81500748,2.836343643,2.842594408,2.847653312,2.871831471,2.926319047,3.001782546,3.102130527,3.220557018,3.346987656,3.474964616,3.598051177,3.724993712,3.853021957,3.978528399,4.099364221,4.203380269,
Brazil,BRA,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.396289861,2.401864999,2.422308064,2.451406627,2.481713604,2.509323395,2.518567159,2.532224522,2.546337202,2.555625898,2.558196408,2.54388827,2.524975548,2.508280775,2.502793359,2.512510975,2.517302544,2.532577998,2.557966603,2.593384937,2.637719241,2.67114151,2.717620881,2.765504113,2.799568745,2.813302777,2.793872164,2.759253757,2.724542525,2.710486733,2.726979843,2.760833745,2.821036057,2.891875582,2.951106678,2.987728368,2.998537355,2.990914522,2.981521888,2.993522734,3.039130111,3.104116241,3.197484066,3.310755402,3.431826458,3.553602245,3.672653463,3.794934043,3.917695242,4.037268002,4.151271497,4.250840757,4.341062077,4.429304829,4.52664065,4.638609749,4.751621451,
Brazil,BRA,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,2.580867846,2.571280875,2.580072019,2.599992847,2.621811633,2.64037999,2.64393983,2.651938797,2.660200025,2.663367952,2.659465555,2.643779995,2.622923622,2.603510898,2.594416752,2.599808682,2.607238429,2.624239236,2.651235428,2.689007679,2.736741712,2.781944292,2.840809442,2.900930906,2.945879827,2.968245338,2.960411463,2.934695388,2.906406979,2.897572857,2.919300389,2.96209541,3.032650563,3.114508488,3.183643572,3.227579442,3.242624646,3.237066103,3.22814935,3.240742887,3.288417609,3.357735771,3.457938602,3.579793493,3.709720916,3.839569789,3.968390368,4.099890382,4.23121122,4.358792867,4.480252238,4.588374494,4.68616762,4.781238886,4.885244049,5.00391757,5.126229863,
Brazil,BRA,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,3.168523388,3.176865051,3.181473724,3.181648868,3.176589853,3.166475818,3.133677936,3.101158547,3.074420294,3.061058526,3.065163996,3.07367841,3.0944921,3.126966774,3.170561048,3.223114444,3.268670249,3.325655071,3.381386852,3.418461196,3.428797976,3.397818825,3.345926817,3.291344661,3.260109722,3.265241094,3.288872945,3.348407036,3.422990826,3.483399776,3.515202107,3.518213557,3.498022247,3.474551858,3.475543272,3.515092452,3.577114346,3.66881021,3.781589239,3.903014211,4.025702525,4.141662136,4.264446151,4.3890787,4.509168258,4.621396884,4.722400592,4.812701704,4.900223381,4.996785803,5.107670625,5.223040346,5.350779854,5.479778831,5.593225067,5.681667918,5.736994046,
Brazil,BRA,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,3.271671021,3.273290989,3.270891636,3.263649152,3.25080939,3.232510418,3.196685408,3.16048205,3.12896572,3.109407721,3.105974,3.112712739,3.130572269,3.159803088,3.20100797,3.252664403,3.30641842,3.372197016,3.436834485,3.482047997,3.499115293,3.480596503,3.438462102,3.391253101,3.365933685,3.376464433,3.410415233,3.480326065,3.565144622,3.634631018,3.673434338,3.685452018,3.671649104,3.652279701,3.656341293,3.699090234,3.766386684,3.864692583,3.985032722,4.113986005,4.243453121,4.367453516,4.49774728,4.62932326,4.755977802,4.874543858,4.983954458,5.081497626,5.175385998,5.278240997,5.395903273,5.520765798,5.657898322,5.795079152,5.914013072,6.004342653,6.062776563,
Brazil,BRA,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,3.893068434,3.849442558,3.795555661,3.743233095,3.707997657,3.69723845,3.688958291,3.702902431,3.735117451,3.780604269,3.835269117,3.891225025,3.959846721,4.026353446,4.070401076,4.081657764,4.050405787,3.988964574,3.920374054,3.876622804,3.87335005,3.889891737,3.946271593,4.01852391,4.073697711,4.096008814,4.082829528,4.047646204,4.01024539,3.999405717,4.030469724,4.094088428,4.189798987,4.308408328,4.436067774,4.563664492,4.682414013,4.803453523,4.923252973,5.037650784,5.14475786,5.234210805,5.316549653,5.397792185,5.487776457,5.591581072,5.707755382,5.836596486,5.965624042,6.076364647,6.158085228,6.210557238,6.238652657,6.250927845,6.260069285,6.274410824,6.282683724,
Brazil,BRA,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,3.932936591,3.885787799,3.82783122,3.770366608,3.728421555,3.709455562,3.697450907,3.705792232,3.731487108,3.771050821,3.821420288,3.881899453,3.955869838,4.027938401,4.076945755,4.092292677,4.071490739,4.018424625,3.956412065,3.918016522,3.919543698,3.945952592,4.011323507,4.092058181,4.154968552,4.183827247,4.180061975,4.152175136,4.120089747,4.113333331,4.148115276,4.21861878,4.321329297,4.446997426,4.581189082,4.714318611,4.840466424,4.96829727,5.094476829,5.215144402,5.328520606,5.425654133,5.514965202,5.602877043,5.699873351,5.811365605,5.937022651,6.075505887,6.213642373,6.33168584,6.417869519,6.472343834,6.499139554,6.506589638,6.507095697,6.508916648,6.504180473,
Brazil,BRA,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,4.467232742,4.453958909,4.455037376,4.470917405,4.502879382,4.549554303,4.594595833,4.662724493,4.732805192,4.776364676,4.780350084,4.745906146,4.675295324,4.594975087,4.5423502,4.535451632,4.558117865,4.622456351,4.702328798,4.760178198,4.777179423,4.749065066,4.692343093,4.63070183,4.599213997,4.616968058,4.669209499,4.763963042,4.887418352,5.019675668,5.148678369,5.278550791,5.40716378,5.531766655,5.648939952,5.756138023,5.841864733,5.913656226,5.981123488,6.058478263,6.152822197,6.252224452,6.371561929,6.494445012,6.59713964,6.666867191,6.712254854,6.730369324,6.730530072,6.726595587,6.727145474,6.728930189,6.73045206,6.741588207,6.775682974,6.839687318,6.923902427,
Brazil,BRA,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,4.460986435,4.441832389,4.435606546,4.444168383,4.470280705,4.5132194,4.559921666,4.630673203,4.703964213,4.750559024,4.756981703,4.729982758,4.665308773,4.589635784,4.540728693,4.537097326,4.567263425,4.637810053,4.723363848,4.786719368,4.809004987,4.789503998,4.739829955,4.68380244,4.656835943,4.678501853,4.736826147,4.837323153,4.966319507,5.103660662,5.237117321,5.373020096,5.506887569,5.636244972,5.758112723,5.870286063,5.963836049,6.042992559,6.117613906,6.202495686,6.305154427,6.414866394,6.544706856,6.677592147,6.788662864,6.864284051,6.91360902,6.932644469,6.930206518,6.919768761,6.909893926,6.89738285,6.881152903,6.871674264,6.882978448,6.922589371,6.983528018,
Brazil,BRA,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,5.447468155,5.496334546,5.55729145,5.612222991,5.637296646,5.622032787,5.554956379,5.456736295,5.353442035,5.282762546,5.264308719,5.289777325,5.36331713,5.454843963,5.520846504,5.538542194,5.509934415,5.441962084,5.364291368,5.319059442,5.328388539,5.371895425,5.461272598,5.581144201,5.710461378,5.837171687,5.959087242,6.086489443,6.212492334,6.328810833,6.431196354,6.524278473,6.596691842,6.660623081,6.733462456,6.822903317,6.917491867,7.026780363,7.13581607,7.222697097,7.275878768,7.29366837,7.289778576,7.270580813,7.246863222,7.226890359,7.21657588,7.206062551,7.205710296,7.229441347,7.2838651,7.366487817,7.473576029,7.597398682,7.726272454,7.851227091,7.968608049,
